# NCBI_GENE_ID	XB_GENE_ID	GENE_SYMBOL	GENE_NAME
GeneID:100036770	XB-GENE-1007455	cyp2a6.9.L	cytochrome P450 family 2 subfamily A member 6 gene 9 L homeolog
GeneID:100036771	XB-GENE-963393	cyp4b1.2.L	cytochrome P450 family 4 subfamily B member 1 L homeolog
GeneID:100036772	XB-GENE-5924293	cyp4b1.L	cytochrome P450, family 4, subfamily B, polypeptide 1 L homeolog
GeneID:100036773	XB-GENE-17339957	cyb5b.S	cytochrome b5 type B
GeneID:100036774	XB-GENE-1006800	cyp17a1.L	cytochrome P450 family 17 subfamily A member 1 L homeolog
GeneID:100036775	XB-GENE-990178	cyp1a1.L	cytochrome P450 family 1 subfamily A member 1 L homeolog
GeneID:100036776	XB-GENE-17332265	mpst.S	mercaptopyruvate sulfurtransferase S homeolog
GeneID:100036777	XB-GENE-6251441	tbx6r.L	T-box 6 related L homeolog
GeneID:100036778	NA	cct5b	chaperonin containing TCP1, subunit 5 (epsilon) b
GeneID:100036779	XB-GENE-5838719	mlh1.S	mutL homolog 1 S homeolog
GeneID:100036780	XB-GENE-17332107	micu2.L	calcium uptake protein 2, mitochondrial
GeneID:100036781	XB-GENE-6251439	cox7a2.L	cytochrome c oxidase subunit 7A2 L homeolog
GeneID:100036782	XB-GENE-5756413	rraga.L	Ras-related GTP binding A L homeolog
GeneID:100036783	XB-GENE-17336310	wbp2nl.S	WBP2 N-terminal like S homeolog
GeneID:100036784	XB-GENE-959465	aldh4a1.L	delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial
GeneID:100036785	XB-GENE-962765	usp3.L	ubiquitin thiolesterase 3
GeneID:100036786	XB-GENE-952195	ints7.S	integrator complex subunit 7 S homeolog
GeneID:100036787	XB-GENE-865064	nkiras1.S	NFKB inhibitor interacting Ras-like 1 S homeolog
GeneID:100036788	XB-GENE-5831975	bbof1.L	basal body-orientation factor 1
GeneID:100036789	XB-GENE-5894431	fhip2a.S	protein FAM160B1
GeneID:100036790	XB-GENE-17341523	emilin2.S	elastin microfibril interfacer 2 S homeolog precursor
GeneID:100036791	XB-GENE-1012677	gas7.L	growth arrest specific 7 L homeolog
GeneID:100036792	XB-GENE-17332140	immt.L	MICOS complex subunit MIC60
GeneID:100036793	XB-GENE-944885	qsox1.L	quiescin Q6 sulfhydryl oxidase 2 precursor
GeneID:100036794	XB-GENE-5896301	cacul1.L	CDK2-associated, cullin domain 1 L homeolog
GeneID:100036795	XB-GENE-17332488	dnmt1.S	DNA methyltransferase 1 S homeolog
GeneID:100036796	XB-GENE-5764010	XB5764007.L	uncharacterized protein LOC100036796
GeneID:100036797	XB-GENE-17334500	zc3h10.L	uncharacterized protein LOC100036797
GeneID:100036798	XB-GENE-6251435	slc1a5.L	solute carrier family 1 member 5 L homeolog
GeneID:100036799	XB-GENE-17343004	cep41.L	centrosomal protein of 41 kDa B
GeneID:100036800	XB-GENE-22164537	cd63l.L	uncharacterized protein LOC100036800
GeneID:100036801	XB-GENE-1009279	xab2.L	XPA binding protein 2 L homeolog
GeneID:100036802	XB-GENE-987224	haus6.L	HAUS augmin like complex subunit 6 L homeolog
GeneID:100036803	XB-GENE-17339124	mknk2.S	uncharacterized protein LOC100036803
GeneID:100036804	XB-GENE-1004615	taf5.L	transcription initiation factor TFIID subunit 5
GeneID:100036805	XB-GENE-1003095	golph3l.L	Golgi phosphoprotein 3-like B
GeneID:100036806	XB-GENE-866055	edn1.S	endothelin 1 S homeolog precursor
GeneID:100036807	XB-GENE-6256176	edn3.L	endothelin-3 L homeolog precursor
GeneID:100036808	XB-GENE-866446	tshz3.L	teashirt zinc finger homeobox 3 L homeolog
GeneID:100036809	XB-GENE-866162	mex3c.S	mex-3 RNA binding family member C S homeolog
GeneID:100036810	XB-GENE-949446	plin1.L	uncharacterized protein plin1.L
