GeneID:735223	XB-GENE-478088	tbx1.L	T-box 1 L homeolog
GeneID:379624	XB-GENE-478125	csnk1a1.L	casein kinase 1 alpha 1 L homeolog
GeneID:380331	XB-GENE-478359	fgg.L	fibrinogen gamma chain L homeolog
GeneID:108710583	XB-GENE-478396	spic.L	Spi-C transcription factor L homeolog
GeneID:733446	XB-GENE-478530	hoxb2.S	homeobox B2 S homeolog
GeneID:399186	XB-GENE-478643	dact1.L	dishevelled-binding antagonist of beta-catenin 1 L homeolog
GeneID:399299	XB-GENE-478676	irs1.L	insulin receptor substrate 1 L homeolog
GeneID:398453	XB-GENE-478732	impdh2.S	NotAvailable
GeneID:380158	XB-GENE-478756	mapkap1.L	MAPK associated protein 1 L homeolog
GeneID:373739	XB-GENE-478765	six3.L	SIX homeobox 3 L homeolog
GeneID:380021	XB-GENE-478775	fga.S	fibrinogen alpha chain S homeolog
GeneID:380041	XB-GENE-478863	mycn.S	MYCN proto-oncogene, bHLH transcription factor S homeolog
GeneID:394275	XB-GENE-478885	c4a.L	complement C4A (Rodgers blood group) L homeolog
GeneID:399469	XB-GENE-478934	tll2.L	tolloid like 2 L homeolog
GeneID:379899	XB-GENE-479031	nkx3-1.L	NK3 homeobox 1 L homeolog
GeneID:379883	XB-GENE-479040	rap1b.L	RAP1B, member of RAS oncogene family L homeolog
GeneID:398131	XB-GENE-479050	smurf1.L	SMAD specific E3 ubiquitin protein ligase 1 L homeolog
GeneID:399439	XB-GENE-479068	psmb8.L	proteasome 20S subunit beta 8 L homeolog
GeneID:494665	XB-GENE-479097	rab14.S	RAB14, member RAS oncogene family S homeolog
GeneID:398223	XB-GENE-479158	app.L	amyloid beta precursor protein L homeolog
GeneID:399093	XB-GENE-479195	bmp1.S	bone morphogenetic protein 1 S homeolog
GeneID:779370	XB-GENE-479259	fgfr3.L	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism) L homeolog
GeneID:399175	XB-GENE-479283	eya1.L	EYA transcriptional coactivator and phosphatase 1 L homeolog
GeneID:399406	XB-GENE-479385	hras.L	Harvey rat sarcoma viral oncogene homolog L homeolog
GeneID:399456	XB-GENE-479433	ar.L	androgen receptor L homeolog
GeneID:399305	XB-GENE-479443	meis1.S	Meis homeobox 1 S homeolog
GeneID:445821	XB-GENE-479500	rps6ka1.L	ribosomal protein S6 kinase A1 L homeolog
