Q66KW8,NP_001078914.1,NM_001085445.1,GeneID:447126,XB-GENE-1016356
A0A8J0PMN0,NP_001078947.2,NM_001085478.2,GeneID:108717272,XB-GENE-991200
Q63ZM5,NP_001078951.1,NM_001085482.1,GeneID:100048914,XB-GENE-955559
Q6PCH9,NP_001078953.1,NM_001085484.1,GeneID:379707,XB-GENE-951366
O42135,NP_001079025.1,NM_001085556.1,GeneID:373547,XB-GENE-1010722
Q9DEN4,NP_001079026.1,NM_001085557.1,GeneID:373548,XB-GENE-865691
A2VD77,NP_001079027.1,NM_001085558.1,GeneID:373549,XB-GENE-980017
Q9W7R8,NP_001079028.1,NM_001085559.1,GeneID:373550,XB-GENE-5981788
Q9W650,NP_001079029.1,NM_001085560.1,GeneID:373551,XB-GENE-865462
Q9IBG4,NP_001079030.1,NM_001085561.1,GeneID:373552,XB-GENE-6078472
Q9PVP8,XP_041429990.1,XM_041574056.1,GeneID:373553,XB-GENE-5727012
Q8JIS7,XP_018084067.1,XM_018228578.2,GeneID:373557,XB-GENE-942568
Q9DEF0,NP_001079033.1,NM_001085564.1,GeneID:373558,XB-GENE-6253070
Q9IB64,NP_001079034.1,NM_001085565.1,GeneID:373559,XB-GENE-865733
Q9IB63,NP_001079035.1,NM_001085566.1,GeneID:373560,XB-GENE-865017
Q9DEC3,NP_001079036.1,NM_001085567.1,GeneID:373563,XB-GENE-964433
Q9DEC2,NP_001079037.1,NM_001085568.1,GeneID:373564,XB-GENE-979772
Q98UJ1,NP_001079038.1,NM_001085569.1,GeneID:373565,XB-GENE-6253069
Q8UWA1,NP_001079039.1,NM_001085570.1,GeneID:373567,XB-GENE-17344492
Q8JJD0,NP_001079040.1,NM_001085571.1,GeneID:373568,NA
Q7ZTB9,NP_001079041.1,NM_001085572.1,GeneID:373570,NA
Q7ZTB7,NP_001079042.1,NM_001085573.1,GeneID:373571,XB-GENE-5849776
Q805F3,NP_001079043.1,NM_001085574.1,GeneID:373572,XB-GENE-947868
Q805F2,NP_001079044.1,NM_001085575.1,GeneID:373573,XB-GENE-6253064
Q8AXQ4,XP_041433547.1,XM_041577613.1,GeneID:373574,XB-GENE-864958
Q6GLW5,NP_001079046.1,NM_001085577.1,GeneID:373575,XB-GENE-966939
Q91701,NP_001079047.1,NM_001085578.1,GeneID:373577,XB-GENE-865266
Q91909,NP_001079048.1,NM_001085579.1,GeneID:373579,XB-GENE-6253062
O42602,NP_001079049.1,NM_001085580.1,GeneID:373580,XB-GENE-968270
O73623,NP_001079050.1,NM_001085581.1,GeneID:373581,XB-GENE-6253061
P79951,NP_001079051.1,NM_001085582.1,GeneID:373582,XB-GENE-6253060
Q98UJ3,NP_001079053.1,NM_001085584.1,GeneID:373584,XB-GENE-6466023
Q9DEF1,NP_001079054.1,NM_001085585.1,GeneID:373585,XB-GENE-920403
P07198,NP_001079056.1,NM_001085587.1,GeneID:373587,XB-GENE-6253058
